,Date/Time,Location,Initiated By,Race,Gender,Reason for Stop,Disposition,Search
1,No field interviews for 06/16/2016,No field interviews for 06/16/2016,No field interviews for 06/16/2016,No field interviews for 06/16/2016,No field interviews for 06/16/2016,No field interviews for 06/16/2016,No field interviews for 06/16/2016,No field interviews for 06/16/2016
2,6/17/2016 7:25 PM,5400 Lake Park,Citizen request for UCPD Response,Caucasian,Male,Officers responded to call regarding indecent exposure,Name checked; released; no further action,No
3,No field interviews for 06/18/2016,No field interviews for 06/18/2016,No field interviews for 06/18/2016,No field interviews for 06/18/2016,No field interviews for 06/18/2016,No field interviews for 06/18/2016,No field interviews for 06/18/2016,No field interviews for 06/18/2016
4,No field interviews for 06/19/2016,No field interviews for 06/19/2016,No field interviews for 06/19/2016,No field interviews for 06/19/2016,No field interviews for 06/19/2016,No field interviews for 06/19/2016,No field interviews for 06/19/2016,No field interviews for 06/19/2016
0,No field interviews for 06/20/2016,No field interviews for 06/20/2016,No field interviews for 06/20/2016,No field interviews for 06/20/2016,No field interviews for 06/20/2016,No field interviews for 06/20/2016,No field interviews for 06/20/2016,No field interviews for 06/20/2016
1,No field interviews for 06/21/2016,No field interviews for 06/21/2016,No field interviews for 06/21/2016,No field interviews for 06/21/2016,No field interviews for 06/21/2016,No field interviews for 06/21/2016,No field interviews for 06/21/2016,No field interviews for 06/21/2016
2,No field interviews for 06/22/2016,No field interviews for 06/22/2016,No field interviews for 06/22/2016,No field interviews for 06/22/2016,No field interviews for 06/22/2016,No field interviews for 06/22/2016,No field interviews for 06/22/2016,No field interviews for 06/22/2016
3,No field interviews for 06/23/2016,No field interviews for 06/23/2016,No field interviews for 06/23/2016,No field interviews for 06/23/2016,No field interviews for 06/23/2016,No field interviews for 06/23/2016,No field interviews for 06/23/2016,No field interviews for 06/23/2016
4,6/24/2016 3:07 PM,5505 S ELLIS,Citizen request for UCPD Response,African American,Male,Suspicious Person,Name checked; released; no further action,No
0,6/24/2016 3:07 PM,5505 S ELLIS,Citizen request for UCPD Response,African American,Male,Suspicious Person,Name checked; released; no further action,No
1,No field interviews for 06/25/2016,No field interviews for 06/25/2016,No field interviews for 06/25/2016,No field interviews for 06/25/2016,No field interviews for 06/25/2016,No field interviews for 06/25/2016,No field interviews for 06/25/2016,No field interviews for 06/25/2016
2,No field interviews for 06/26/2016,No field interviews for 06/26/2016,No field interviews for 06/26/2016,No field interviews for 06/26/2016,No field interviews for 06/26/2016,No field interviews for 06/26/2016,No field interviews for 06/26/2016,No field interviews for 06/26/2016
3,No field interviews for 06/27/2016,No field interviews for 06/27/2016,No field interviews for 06/27/2016,No field interviews for 06/27/2016,No field interviews for 06/27/2016,No field interviews for 06/27/2016,No field interviews for 06/27/2016,No field interviews for 06/27/2016
4,No field interviews for 06/28/2016,No field interviews for 06/28/2016,No field interviews for 06/28/2016,No field interviews for 06/28/2016,No field interviews for 06/28/2016,No field interviews for 06/28/2016,No field interviews for 06/28/2016,No field interviews for 06/28/2016
0,No field interviews for 06/29/2016,No field interviews for 06/29/2016,No field interviews for 06/29/2016,No field interviews for 06/29/2016,No field interviews for 06/29/2016,No field interviews for 06/29/2016,No field interviews for 06/29/2016,No field interviews for 06/29/2016
1,6/30/2016 5:04 PM,5700 S MARYLAND,UCPD,African American,Male,Panhandling,Name checked; released; no further action,No
2,7/1/2016 9:24 AM,5700 S Greenwood,Citizen request for UCPD Response,African American,Male,Disturbance - AB officer advised that individual was harassing passersby,Name checked; released; no further action,No
3,7/2/2016 3:11 AM,901 E 58th,UCPD,African American,Male,Resembled physical description of robbery offender,Name checked; released; no further action,No
4,No field interviews for 07/03/2016,No field interviews for 07/03/2016,No field interviews for 07/03/2016,No field interviews for 07/03/2016,No field interviews for 07/03/2016,No field interviews for 07/03/2016,No field interviews for 07/03/2016,No field interviews for 07/03/2016
0,No field interviews for 07/04/2016,No field interviews for 07/04/2016,No field interviews for 07/04/2016,No field interviews for 07/04/2016,No field interviews for 07/04/2016,No field interviews for 07/04/2016,No field interviews for 07/04/2016,No field interviews for 07/04/2016
1,No field interviews for 07/05/2016,No field interviews for 07/05/2016,No field interviews for 07/05/2016,No field interviews for 07/05/2016,No field interviews for 07/05/2016,No field interviews for 07/05/2016,No field interviews for 07/05/2016,No field interviews for 07/05/2016
2,7/6/2016 8:13 PM,5900 S Stony Island,UCPD,African American,Male,Resembled description of offender,Name checked; show up conducted; released,No
3,No field interviews for 07/07/2016,No field interviews for 07/07/2016,No field interviews for 07/07/2016,No field interviews for 07/07/2016,No field interviews for 07/07/2016,No field interviews for 07/07/2016,No field interviews for 07/07/2016,No field interviews for 07/07/2016
4,No field interviews for 07/08/2016,No field interviews for 07/08/2016,No field interviews for 07/08/2016,No field interviews for 07/08/2016,No field interviews for 07/08/2016,No field interviews for 07/08/2016,No field interviews for 07/08/2016,No field interviews for 07/08/2016
0,No field interviews for 07/09/2016,No field interviews for 07/09/2016,No field interviews for 07/09/2016,No field interviews for 07/09/2016,No field interviews for 07/09/2016,No field interviews for 07/09/2016,No field interviews for 07/09/2016,No field interviews for 07/09/2016
1,No field interviews for 07/10/2016,No field interviews for 07/10/2016,No field interviews for 07/10/2016,No field interviews for 07/10/2016,No field interviews for 07/10/2016,No field interviews for 07/10/2016,No field interviews for 07/10/2016,No field interviews for 07/10/2016
2,No field interviews for 07/11/2016,No field interviews for 07/11/2016,No field interviews for 07/11/2016,No field interviews for 07/11/2016,No field interviews for 07/11/2016,No field interviews for 07/11/2016,No field interviews for 07/11/2016,No field interviews for 07/11/2016
3,No field interviews for 07/12/2016,No field interviews for 07/12/2016,No field interviews for 07/12/2016,No field interviews for 07/12/2016,No field interviews for 07/12/2016,No field interviews for 07/12/2016,No field interviews for 07/12/2016,No field interviews for 07/12/2016
4,No field interviews for 07/13/2016,No field interviews for 07/13/2016,No field interviews for 07/13/2016,No field interviews for 07/13/2016,No field interviews for 07/13/2016,No field interviews for 07/13/2016,No field interviews for 07/13/2016,No field interviews for 07/13/2016
0,7/14/2016 2:16 PM,4900 S Cornell,Citizen request for UCPD Response,African American,Female,Suspicious Person,Name checked; referred to CPD; released by CPD,No
1,7/14/2016 2:16 PM,4900 S Cornell,Citizen request for UCPD Response,African American,Female,Suspicious Person,Name checked; referred to CPD; released by CPD,No
2,7/14/2016 2:16 PM,4900 S Cornell,Citizen request for UCPD Response,African American,Female,Suspicious Person,Name checked; referred to CPD; released by CPD,No
3,7/14/2016 2:16 PM,4900 S Cornell,Citizen request for UCPD Response,African American,Female,Suspicious Person,Name checked; referred to CPD; released by CPD,No
4,No field interviews for 07/15/2016,No field interviews for 07/15/2016,No field interviews for 07/15/2016,No field interviews for 07/15/2016,No field interviews for 07/15/2016,No field interviews for 07/15/2016,No field interviews for 07/15/2016,No field interviews for 07/15/2016
0,No field interviews for 07/16/2016,No field interviews for 07/16/2016,No field interviews for 07/16/2016,No field interviews for 07/16/2016,No field interviews for 07/16/2016,No field interviews for 07/16/2016,No field interviews for 07/16/2016,No field interviews for 07/16/2016
1,No field interviews for 07/17/2016,No field interviews for 07/17/2016,No field interviews for 07/17/2016,No field interviews for 07/17/2016,No field interviews for 07/17/2016,No field interviews for 07/17/2016,No field interviews for 07/17/2016,No field interviews for 07/17/2016
2,No field interviews for 07/18/2016,No field interviews for 07/18/2016,No field interviews for 07/18/2016,No field interviews for 07/18/2016,No field interviews for 07/18/2016,No field interviews for 07/18/2016,No field interviews for 07/18/2016,No field interviews for 07/18/2016
3,No field interviews for 07/19/2016,No field interviews for 07/19/2016,No field interviews for 07/19/2016,No field interviews for 07/19/2016,No field interviews for 07/19/2016,No field interviews for 07/19/2016,No field interviews for 07/19/2016,No field interviews for 07/19/2016
4,No field interviews for 07/20/2016,No field interviews for 07/20/2016,No field interviews for 07/20/2016,No field interviews for 07/20/2016,No field interviews for 07/20/2016,No field interviews for 07/20/2016,No field interviews for 07/20/2016,No field interviews for 07/20/2016
0,No field interviews for 07/21/2016,No field interviews for 07/21/2016,No field interviews for 07/21/2016,No field interviews for 07/21/2016,No field interviews for 07/21/2016,No field interviews for 07/21/2016,No field interviews for 07/21/2016,No field interviews for 07/21/2016
1,7/22/2016 5:14 AM,5005 Ellis,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,Yes
2,7/23/2016 2:05 PM,6000 S Cottage Grove,Citizen request for UCPD Response,African American,Male,Possible domestic battery,Name checked; complaint refused; released,Yes
3,No field interviews for 07/24/2016,No field interviews for 07/24/2016,No field interviews for 07/24/2016,No field interviews for 07/24/2016,No field interviews for 07/24/2016,No field interviews for 07/24/2016,No field interviews for 07/24/2016,No field interviews for 07/24/2016
4,No field interviews for 07/25/2016,No field interviews for 07/25/2016,No field interviews for 07/25/2016,No field interviews for 07/25/2016,No field interviews for 07/25/2016,No field interviews for 07/25/2016,No field interviews for 07/25/2016,No field interviews for 07/25/2016
0,No field interviews for 07/26/2016,No field interviews for 07/26/2016,No field interviews for 07/26/2016,No field interviews for 07/26/2016,No field interviews for 07/26/2016,No field interviews for 07/26/2016,No field interviews for 07/26/2016,No field interviews for 07/26/2016
1,No field interviews for 07/27/2016,No field interviews for 07/27/2016,No field interviews for 07/27/2016,No field interviews for 07/27/2016,No field interviews for 07/27/2016,No field interviews for 07/27/2016,No field interviews for 07/27/2016,No field interviews for 07/27/2016
2,No field interviews for 07/28/2016,No field interviews for 07/28/2016,No field interviews for 07/28/2016,No field interviews for 07/28/2016,No field interviews for 07/28/2016,No field interviews for 07/28/2016,No field interviews for 07/28/2016,No field interviews for 07/28/2016
3,No field interviews for 07/29/2016,No field interviews for 07/29/2016,No field interviews for 07/29/2016,No field interviews for 07/29/2016,No field interviews for 07/29/2016,No field interviews for 07/29/2016,No field interviews for 07/29/2016,No field interviews for 07/29/2016
4,No field interviews for 07/30/2016,No field interviews for 07/30/2016,No field interviews for 07/30/2016,No field interviews for 07/30/2016,No field interviews for 07/30/2016,No field interviews for 07/30/2016,No field interviews for 07/30/2016,No field interviews for 07/30/2016
0,No field interviews for 07/31/2016,No field interviews for 07/31/2016,No field interviews for 07/31/2016,No field interviews for 07/31/2016,No field interviews for 07/31/2016,No field interviews for 07/31/2016,No field interviews for 07/31/2016,No field interviews for 07/31/2016
1,No field interviews for 08/01/2016,No field interviews for 08/01/2016,No field interviews for 08/01/2016,No field interviews for 08/01/2016,No field interviews for 08/01/2016,No field interviews for 08/01/2016,No field interviews for 08/01/2016,No field interviews for 08/01/2016
2,No field interviews for 08/02/2016,No field interviews for 08/02/2016,No field interviews for 08/02/2016,No field interviews for 08/02/2016,No field interviews for 08/02/2016,No field interviews for 08/02/2016,No field interviews for 08/02/2016,No field interviews for 08/02/2016
3,No field interviews for 08/03/2016,No field interviews for 08/03/2016,No field interviews for 08/03/2016,No field interviews for 08/03/2016,No field interviews for 08/03/2016,No field interviews for 08/03/2016,No field interviews for 08/03/2016,No field interviews for 08/03/2016
4,No field interviews for 08/04/2016,No field interviews for 08/04/2016,No field interviews for 08/04/2016,No field interviews for 08/04/2016,No field interviews for 08/04/2016,No field interviews for 08/04/2016,No field interviews for 08/04/2016,No field interviews for 08/04/2016
0,No field interviews for 08/05/2016,No field interviews for 08/05/2016,No field interviews for 08/05/2016,No field interviews for 08/05/2016,No field interviews for 08/05/2016,No field interviews for 08/05/2016,No field interviews for 08/05/2016,No field interviews for 08/05/2016
1,No field interviews for 08/06/2016,No field interviews for 08/06/2016,No field interviews for 08/06/2016,No field interviews for 08/06/2016,No field interviews for 08/06/2016,No field interviews for 08/06/2016,No field interviews for 08/06/2016,No field interviews for 08/06/2016
2,8/7/2016 7:27 AM,5730 S Ellis,Citizen request for UCPD Response,African American,Male,Suspicious Person,Name checked; released; no further action,No
3,No field interviews for 08/08/2016,No field interviews for 08/08/2016,No field interviews for 08/08/2016,No field interviews for 08/08/2016,No field interviews for 08/08/2016,No field interviews for 08/08/2016,No field interviews for 08/08/2016,No field interviews for 08/08/2016
4,No field interviews for 08/09/2016,No field interviews for 08/09/2016,No field interviews for 08/09/2016,No field interviews for 08/09/2016,No field interviews for 08/09/2016,No field interviews for 08/09/2016,No field interviews for 08/09/2016,No field interviews for 08/09/2016
0,No field interviews for 08/10/2016,No field interviews for 08/10/2016,No field interviews for 08/10/2016,No field interviews for 08/10/2016,No field interviews for 08/10/2016,No field interviews for 08/10/2016,No field interviews for 08/10/2016,No field interviews for 08/10/2016
1,No field interviews for 08/11/2016,No field interviews for 08/11/2016,No field interviews for 08/11/2016,No field interviews for 08/11/2016,No field interviews for 08/11/2016,No field interviews for 08/11/2016,No field interviews for 08/11/2016,No field interviews for 08/11/2016
2,8/12/2016 6:45 AM,5600 S Stony,Citizen request for UCPD Response,African American,Male,Suspicious Person,Name checked; released; no further action,Yes
3,8/12/2016 3:56 PM,5640 S University,Citizen request for UCPD Response,Caucasian,Male,Suspicious Person,Name checked; released; no further action,No
4,No field interviews for 08/13/2016,No field interviews for 08/13/2016,No field interviews for 08/13/2016,No field interviews for 08/13/2016,No field interviews for 08/13/2016,No field interviews for 08/13/2016,No field interviews for 08/13/2016,No field interviews for 08/13/2016
0,No field interviews for 08/14/2016,No field interviews for 08/14/2016,No field interviews for 08/14/2016,No field interviews for 08/14/2016,No field interviews for 08/14/2016,No field interviews for 08/14/2016,No field interviews for 08/14/2016,No field interviews for 08/14/2016
1,No field interviews for 08/15/2016,No field interviews for 08/15/2016,No field interviews for 08/15/2016,No field interviews for 08/15/2016,No field interviews for 08/15/2016,No field interviews for 08/15/2016,No field interviews for 08/15/2016,No field interviews for 08/15/2016
2,8/16/2016 12:12 PM,900 E 55th,Citizen request for UCPD Response,African American,Male,Suspicious Subject,Name checked; released; no further action,No
3,No field Interviews for 08/17/2016,No field Interviews for 08/17/2016,No field Interviews for 08/17/2016,No field Interviews for 08/17/2016,No field Interviews for 08/17/2016,No field Interviews for 08/17/2016,No field Interviews for 08/17/2016,No field Interviews for 08/17/2016
4,8/18/2016 7:55 PM,6054 S DREXEL,UCPD,African American,Male,Suspicious Person,Name checked; released; no further action,No
0,No field interviews for 08/19/2016,No field interviews for 08/19/2016,No field interviews for 08/19/2016,No field interviews for 08/19/2016,No field interviews for 08/19/2016,No field interviews for 08/19/2016,No field interviews for 08/19/2016,No field interviews for 08/19/2016
1,No field interviews for 08/20/2016,No field interviews for 08/20/2016,No field interviews for 08/20/2016,No field interviews for 08/20/2016,No field interviews for 08/20/2016,No field interviews for 08/20/2016,No field interviews for 08/20/2016,No field interviews for 08/20/2016
2,No field interviews for 08/21/2016,No field interviews for 08/21/2016,No field interviews for 08/21/2016,No field interviews for 08/21/2016,No field interviews for 08/21/2016,No field interviews for 08/21/2016,No field interviews for 08/21/2016,No field interviews for 08/21/2016
3,No field interviews for 08/22/2016,No field interviews for 08/22/2016,No field interviews for 08/22/2016,No field interviews for 08/22/2016,No field interviews for 08/22/2016,No field interviews for 08/22/2016,No field interviews for 08/22/2016,No field interviews for 08/22/2016
4,No field interviews for 08/23/2016,No field interviews for 08/23/2016,No field interviews for 08/23/2016,No field interviews for 08/23/2016,No field interviews for 08/23/2016,No field interviews for 08/23/2016,No field interviews for 08/23/2016,No field interviews for 08/23/2016
0,8/24/2016 9:09 PM,5300 S Drexel,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
1,8/24/2016 9:09 PM,5300 S Drexel,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
2,No field interviews for 08/25/2016,No field interviews for 08/25/2016,No field interviews for 08/25/2016,No field interviews for 08/25/2016,No field interviews for 08/25/2016,No field interviews for 08/25/2016,No field interviews for 08/25/2016,No field interviews for 08/25/2016
3,No field interviews for 08/26/2016,No field interviews for 08/26/2016,No field interviews for 08/26/2016,No field interviews for 08/26/2016,No field interviews for 08/26/2016,No field interviews for 08/26/2016,No field interviews for 08/26/2016,No field interviews for 08/26/2016
4,No field interviews for 08/27/2016,No field interviews for 08/27/2016,No field interviews for 08/27/2016,No field interviews for 08/27/2016,No field interviews for 08/27/2016,No field interviews for 08/27/2016,No field interviews for 08/27/2016,No field interviews for 08/27/2016
0,No field interviews for 08/28/2016,No field interviews for 08/28/2016,No field interviews for 08/28/2016,No field interviews for 08/28/2016,No field interviews for 08/28/2016,No field interviews for 08/28/2016,No field interviews for 08/28/2016,No field interviews for 08/28/2016
1,No field interviews for 08/29/2016,No field interviews for 08/29/2016,No field interviews for 08/29/2016,No field interviews for 08/29/2016,No field interviews for 08/29/2016,No field interviews for 08/29/2016,No field interviews for 08/29/2016,No field interviews for 08/29/2016
2,There were no field interviews for 08/30/2016,,,,,,,
3,There were no field interviews for 08/31/2016,,,,,,,
4,9/2/2016 2:28 AM,6010 Ingleside,UCPD,African American,Male,Suspicious person,Name checked; released; no further action,No
0,No field interviews for 09/02/2016,No field interviews for 09/02/2016,No field interviews for 09/02/2016,No field interviews for 09/02/2016,No field interviews for 09/02/2016,No field interviews for 09/02/2016,No field interviews for 09/02/2016,No field interviews for 09/02/2016
1,No field interviews for 09/03/2016,No field interviews for 09/03/2016,No field interviews for 09/03/2016,No field interviews for 09/03/2016,No field interviews for 09/03/2016,No field interviews for 09/03/2016,No field interviews for 09/03/2016,No field interviews for 09/03/2016
2,No field interviews for 09/04/2016,No field interviews for 09/04/2016,No field interviews for 09/04/2016,No field interviews for 09/04/2016,No field interviews for 09/04/2016,No field interviews for 09/04/2016,No field interviews for 09/04/2016,No field interviews for 09/04/2016
3,9/6/2016 2:14 AM,5900 Kenwood,UCPD,Caucasian,Male,Suspicious vehicle,Name checked; released; no further action,No
4,No field interviews for 09/05/2016,No field interviews for 09/05/2016,No field interviews for 09/05/2016,No field interviews for 09/05/2016,No field interviews for 09/05/2016,No field interviews for 09/05/2016,No field interviews for 09/05/2016,No field interviews for 09/05/2016
0,9/7/2016 11:37 PM,5476 S Ellis,Citizen request for UCPD Response,African American,Female,Suspicious person,Name checked; released; no further action,No
1,No field interviews for 09/08/2016,No field interviews for 09/08/2016,No field interviews for 09/08/2016,No field interviews for 09/08/2016,No field interviews for 09/08/2016,No field interviews for 09/08/2016,No field interviews for 09/08/2016,No field interviews for 09/08/2016
2,No field interviews for 09/09/2016,No field interviews for 09/09/2016,No field interviews for 09/09/2016,No field interviews for 09/09/2016,No field interviews for 09/09/2016,No field interviews for 09/09/2016,No field interviews for 09/09/2016,No field interviews for 09/09/2016
3,9/10/2016 9:35 AM,5400 S Kenwood,UCPD,Hispanic,Male,Individual observed pulling on car door handles,Name checked; released; no further action,No
4,No field interviews for 09/11/2016,No field interviews for 09/11/2016,No field interviews for 09/11/2016,No field interviews for 09/11/2016,No field interviews for 09/11/2016,No field interviews for 09/11/2016,No field interviews for 09/11/2016,No field interviews for 09/11/2016
0,No field interviews for 09/12/2016,No field interviews for 09/12/2016,No field interviews for 09/12/2016,No field interviews for 09/12/2016,No field interviews for 09/12/2016,No field interviews for 09/12/2016,No field interviews for 09/12/2016,No field interviews for 09/12/2016
1,No field interviews for 09/13/2016,No field interviews for 09/13/2016,No field interviews for 09/13/2016,No field interviews for 09/13/2016,No field interviews for 09/13/2016,No field interviews for 09/13/2016,No field interviews for 09/13/2016,No field interviews for 09/13/2016
2,No field interviews for 09/14/2016,No field interviews for 09/14/2016,No field interviews for 09/14/2016,No field interviews for 09/14/2016,No field interviews for 09/14/2016,No field interviews for 09/14/2016,No field interviews for 09/14/2016,No field interviews for 09/14/2016
3,No field interviews for 09/15/2016,No field interviews for 09/15/2016,No field interviews for 09/15/2016,No field interviews for 09/15/2016,No field interviews for 09/15/2016,No field interviews for 09/15/2016,No field interviews for 09/15/2016,No field interviews for 09/15/2016
4,No field interviews for 09/16/2016,No field interviews for 09/16/2016,No field interviews for 09/16/2016,No field interviews for 09/16/2016,No field interviews for 09/16/2016,No field interviews for 09/16/2016,No field interviews for 09/16/2016,No field interviews for 09/16/2016
0,9/17/2016 10:02 AM,54th and Harper,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
1,9/17/2016 10:24 AM,5300 S Berkeley,Citizen request for UCPD Response,Hispanic,Male,Suspicious person,Name checked; released; no further action,No
2,No field interviews for 09/18/2016,No field interviews for 09/18/2016,No field interviews for 09/18/2016,No field interviews for 09/18/2016,No field interviews for 09/18/2016,No field interviews for 09/18/2016,No field interviews for 09/18/2016,No field interviews for 09/18/2016
3,No field interviews for 09/19/2016,No field interviews for 09/19/2016,No field interviews for 09/19/2016,No field interviews for 09/19/2016,No field interviews for 09/19/2016,No field interviews for 09/19/2016,No field interviews for 09/19/2016,No field interviews for 09/19/2016
4,No field interviews for 09/20/2016,No field interviews for 09/20/2016,No field interviews for 09/20/2016,No field interviews for 09/20/2016,No field interviews for 09/20/2016,No field interviews for 09/20/2016,No field interviews for 09/20/2016,No field interviews for 09/20/2016
0,No field interviews for 09/21/2016,No field interviews for 09/21/2016,No field interviews for 09/21/2016,No field interviews for 09/21/2016,No field interviews for 09/21/2016,No field interviews for 09/21/2016,No field interviews for 09/21/2016,No field interviews for 09/21/2016
1,No field interviews for 09/22/2016,No field interviews for 09/22/2016,No field interviews for 09/22/2016,No field interviews for 09/22/2016,No field interviews for 09/22/2016,No field interviews for 09/22/2016,No field interviews for 09/22/2016,No field interviews for 09/22/2016
2,No field interviews for 09/23/2016,No field interviews for 09/23/2016,No field interviews for 09/23/2016,No field interviews for 09/23/2016,No field interviews for 09/23/2016,No field interviews for 09/23/2016,No field interviews for 09/23/2016,No field interviews for 09/23/2016
3,No field interviews for 09/24/2016,No field interviews for 09/24/2016,No field interviews for 09/24/2016,No field interviews for 09/24/2016,No field interviews for 09/24/2016,No field interviews for 09/24/2016,No field interviews for 09/24/2016,No field interviews for 09/24/2016
4,No field interviews for 09/25/2016,No field interviews for 09/25/2016,No field interviews for 09/25/2016,No field interviews for 09/25/2016,No field interviews for 09/25/2016,No field interviews for 09/25/2016,No field interviews for 09/25/2016,No field interviews for 09/25/2016
0,No field interviews for 09/26/2016,No field interviews for 09/26/2016,No field interviews for 09/26/2016,No field interviews for 09/26/2016,No field interviews for 09/26/2016,No field interviews for 09/26/2016,No field interviews for 09/26/2016,No field interviews for 09/26/2016
1,9/27/2016 8:22 AM,6016 S Ingleside,UCPD,African American,Male,Suspicious person,Name checked; trespass warning issued; released,No
2,No field interviews for 09/28/2016,No field interviews for 09/28/2016,No field interviews for 09/28/2016,No field interviews for 09/28/2016,No field interviews for 09/28/2016,No field interviews for 09/28/2016,No field interviews for 09/28/2016,No field interviews for 09/28/2016
3,No field interviews for 09/29/2016,No field interviews for 09/29/2016,No field interviews for 09/29/2016,No field interviews for 09/29/2016,No field interviews for 09/29/2016,No field interviews for 09/29/2016,No field interviews for 09/29/2016,No field interviews for 09/29/2016
4,No field interviews for 09/30/2016,No field interviews for 09/30/2016,No field interviews for 09/30/2016,No field interviews for 09/30/2016,No field interviews for 09/30/2016,No field interviews for 09/30/2016,No field interviews for 09/30/2016,No field interviews for 09/30/2016
0,No field interviews for 10/01/2016,No field interviews for 10/01/2016,No field interviews for 10/01/2016,No field interviews for 10/01/2016,No field interviews for 10/01/2016,No field interviews for 10/01/2016,No field interviews for 10/01/2016,No field interviews for 10/01/2016
1,No field interviews for 10/02/2016,No field interviews for 10/02/2016,No field interviews for 10/02/2016,No field interviews for 10/02/2016,No field interviews for 10/02/2016,No field interviews for 10/02/2016,No field interviews for 10/02/2016,No field interviews for 10/02/2016
2,No field interviews for 10/03/2016,No field interviews for 10/03/2016,No field interviews for 10/03/2016,No field interviews for 10/03/2016,No field interviews for 10/03/2016,No field interviews for 10/03/2016,No field interviews for 10/03/2016,No field interviews for 10/03/2016
3,10/4/2016 10:55 AM,1449 E 57th,Citizen request for UCPD Response,African American,Male,Disturbance,Name checked; released; management issued trespass,No
4,No field interviews for 10/05/2016,No field interviews for 10/05/2016,No field interviews for 10/05/2016,No field interviews for 10/05/2016,No field interviews for 10/05/2016,No field interviews for 10/05/2016,No field interviews for 10/05/2016,No field interviews for 10/05/2016
0,No field interviews for 10/06/2016,No field interviews for 10/06/2016,No field interviews for 10/06/2016,No field interviews for 10/06/2016,No field interviews for 10/06/2016,No field interviews for 10/06/2016,No field interviews for 10/06/2016,No field interviews for 10/06/2016
1,No field interviews for 10/07/2016,No field interviews for 10/07/2016,No field interviews for 10/07/2016,No field interviews for 10/07/2016,No field interviews for 10/07/2016,No field interviews for 10/07/2016,No field interviews for 10/07/2016,No field interviews for 10/07/2016
2,10/8/2016 11:35 AM,5720 S Ellis,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
3,10/9/2016 4:41 PM,4900 S Kenwood,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
4,No field interviews for 10/10/2016,No field interviews for 10/10/2016,No field interviews for 10/10/2016,No field interviews for 10/10/2016,No field interviews for 10/10/2016,No field interviews for 10/10/2016,No field interviews for 10/10/2016,No field interviews for 10/10/2016
0,No field interviews for 10/11/2016,No field interviews for 10/11/2016,No field interviews for 10/11/2016,No field interviews for 10/11/2016,No field interviews for 10/11/2016,No field interviews for 10/11/2016,No field interviews for 10/11/2016,No field interviews for 10/11/2016
1,10/13/2016 2:42 AM,1010 E 54th,UCPD,African American,Male,Suspicious person,Name checked; released; no further action,Yes
2,10/13/2016 10:20 AM,5540 S Ellis,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
3,No field interviews for 10/14/2016,No field interviews for 10/14/2016,No field interviews for 10/14/2016,No field interviews for 10/14/2016,No field interviews for 10/14/2016,No field interviews for 10/14/2016,No field interviews for 10/14/2016,No field interviews for 10/14/2016
4,No field interviews for 10/15/2016,No field interviews for 10/15/2016,No field interviews for 10/15/2016,No field interviews for 10/15/2016,No field interviews for 10/15/2016,No field interviews for 10/15/2016,No field interviews for 10/15/2016,No field interviews for 10/15/2016
0,No field interviews for 10/16/2016,No field interviews for 10/16/2016,No field interviews for 10/16/2016,No field interviews for 10/16/2016,No field interviews for 10/16/2016,No field interviews for 10/16/2016,No field interviews for 10/16/2016,No field interviews for 10/16/2016
1,10/17/2016 2:21 PM,5436 S Ingleside,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
2,10/17/2016 2:21 PM,5436 S Ingleside,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
3,10/17/2016 5:22 PM,800 E Midway,Citizen request for UCPD Response,African American,Male,Pandhandling,Name checked; released; no further action,No
4,10/18/2016 11:07 AM,5400 S Cottage Grove,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
0,10/18/2016 11:09 AM,824 E 53rd St,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
1,No field interviews for 10/19/2016,No field interviews for 10/19/2016,No field interviews for 10/19/2016,No field interviews for 10/19/2016,No field interviews for 10/19/2016,No field interviews for 10/19/2016,No field interviews for 10/19/2016,No field interviews for 10/19/2016
2,No field interviews for 10/20/2016,No field interviews for 10/20/2016,No field interviews for 10/20/2016,No field interviews for 10/20/2016,No field interviews for 10/20/2016,No field interviews for 10/20/2016,No field interviews for 10/20/2016,No field interviews for 10/20/2016
3,No field interviews for 10/21/2016,No field interviews for 10/21/2016,No field interviews for 10/21/2016,No field interviews for 10/21/2016,No field interviews for 10/21/2016,No field interviews for 10/21/2016,No field interviews for 10/21/2016,No field interviews for 10/21/2016
4,No field interviews for 10/22/2016,No field interviews for 10/22/2016,No field interviews for 10/22/2016,No field interviews for 10/22/2016,No field interviews for 10/22/2016,No field interviews for 10/22/2016,No field interviews for 10/22/2016,No field interviews for 10/22/2016
