,Date/Time,Location,Initiated By,Race,Gender,Reason for Stop,Disposition,Search
2,6/20/2015 4:00 PM,5330 S Harper,Citizen request for UCPD Response,African American,Female,"Citizen stated that 2 subjects were making inappropriate verbal comments towards her. Subjects apologized, issue was resolved.",Name checked; no further action,No
3,6/20/2015 4:00 PM,5330 S Harper,Citizen request for UCPD Response,African American,Male,"Subject made inappropriate verbal comments towards citizen. Subject apologized, issue was resolved.",Name checked; no further action,No
4,6/20/2015 4:00 PM,5330 S Harper,Citizen request for UCPD Response,African American,Male,"Subject made inappropriate verbal comments towards citizen. Subject apologized, issue was resolved.",Name checked; no further action,No
0,6/21/2015 9:38 PM,5311 Lake Park,UCPD,African American,Male,Subject was causing a disturbance in the area.,Name checked; no further action,No
1,6/21/2015 10:37 PM,5200 S Blackstone,UCPD,African American,Male,Subject was observed fighting in the McDonald's parking lot,Warned; released,No
2,6/21/2015 10:37 PM,5200 S Blackstone,UCPD,African American,Male,Subject was observed fighting in the McDonald's parking lot,Warned; released,No
3,6/21/2015 10:37 PM,5200 S Blackstone,UCPD,African American,Male,Subject was observed fighting in the McDonald's parking lot,Warned; released,No
4,6/21/2015 10:37 PM,5200 S Blackstone,UCPD,African American,Male,Subject was observed fighting in the McDonald's parking lot,Warned; released,No
0,6/21/2015 10:37 PM,5200 S Blackstone,UCPD,African American,Male,Subject was observed fighting in the McDonald's parking lot,Warned; released,No
1,6/22/2015 1:37 AM,5400 S Cottage Grove,Citizen request for UCPD Response,African American,Male,Complainant flagged down officer relating that he knew where the offender to a criminal case was located,Name checked; show up conducted; released,No
2,6/22/2015 7:16 AM,5900 S Kimbark,Citizen request for UCPD Response,African American,Male,Officers responded to a call regarding a suspicious (and possibly banned) person,Name checked; no further action,No
3,6/22/2015 11:12 PM,5334 S Greenwood,Citizen request for UCPD Response,African American,Male,Citizen observed a man walking while holding a knife,Name checked; no further action,Yes
