Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search,Date,Time
5300 S Harper,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,5/24/2017,12:14 AM
5500 S Payne Dr.,ASIAN,FEMALE,Lane Violation,Improper lane usage,,Verbal Warning,No,5/25/2017,4:58 PM
5500 S Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,5/27/2017,1:07 PM
5500 S Lake Park,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,Two citations issued,Citation issued,No,5/27/2017,2:13 PM
6300 University,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,5/28/2017,11:41 AM
5800 S University,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Improper lane usage,,Verbal Warning,No,5/29/2017,12:39 PM
6000 Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,5/29/2017,9:56 PM
5300 S Lake Park,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Improper turn,,Verbal Warning,No,5/30/2017,11:39 AM
6200 S Dorchester,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way road,Two citations issued,Citation issued,No,5/30/2017,9:16 PM
5400 Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper passing,,Verbal Warning,No,5/31/2017,12:28 PM
5640 Blackstone,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,One citation issued,Citation issued,No,5/31/2017,3:46 PM
5807 Woodlawn,ASIAN,MALE,Traffic Sign/Signal,Ran red light,One citation issued,Citation issued,No,6/1/2017,10:02 AM
5100 S Greenwood,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Driving on sidewalk,Four citations issued,Citation issued,No,6/1/2017,1:20 PM
5130 S Drexel,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper lane usage,,Verbal Warning,No,6/2/2017,10:08 AM
4500 S Drexel,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/2/2017,4:45 PM
1003 E 49th,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Failure to signal,,Verbal Warning,No,6/2/2017,9:33 PM
6300 S Stony Island,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,6/3/2017,2:10 PM
4800 S Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,6/4/2017,2:27 AM
5900 S Shore Dr.,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/4/2017,3:03 AM
E Midway Plaisance,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,,Verbal Warning,No,6/4/2017,12:44 PM
5759 S Ingleside,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,Two citations issued,Citation issued,No,6/4/2017,1:01 PM
6400 S Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/4/2017,1:16 PM
5300 S Kimbark,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Failure to yield to oncoming traffic,,Verbal Warning,No,6/4/2017,9:37 PM
1301 E 53rd,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,One citation issued,Citation Issued,No,6/5/2017,1:26 PM
1161 E Midway,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,6/5/2017,3:40 PM
5109 S Kenwood,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/5/2017,7:10 PM
5700 S. ELLIS,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No,6/6/2017,11:16 AM
5400 S. ELLIS,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No,6/6/2017,3:15 PM
5420 S. ELLIS,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,6/6/2017,5:28 PM
6100 S Greenwood,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/7/2017,7:49 PM
6400 S Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Illegal U-Turn,,Verbal Warning,No,6/7/2017,9:03 PM
5900 S Stony Island,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,One citation issued,Citation Issued,No,6/8/2017,12:17 PM
6300 S Greenwood,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,6/8/2017,3:46 PM
5000 S Cornell,NATIVE HAWAIIAN / OTHER PACIFIC ISLANDER,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,6/8/2017,10:25 PM
6300 S Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Unsafe lane change,,Verbal Warning,No,6/8/2017,11:08 PM
5500 Kenwood,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,6/9/2017,9:35 AM
1436 E Midway Plaisance,HISPANIC,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/10/2017,12:38 PM
5900 Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Illegal lane change,,Verbal Warning,No,6/11/2017,9:26 AM
5600 S Stony Island,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,6/11/2017,8:31 PM
6031 S Ellis,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/12/2017,2:06 PM
1318 E Hyde Park Blvd,HISPANIC,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/12/2017,9:44 PM
1223 E 52nd,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Failure to signal,,Verbal Warning,No,6/14/2017,12:39 AM
5600 Greenwood,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/14/2017,9:06 AM
1451 E 53rd,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran stop sign,One citation issued,Citation issued,No,6/14/2017,1:09 PM
5100 Greenwood,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/15/2017,8:47 AM
5300 Blackstone,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/15/2017,9:34 AM
5528 Kimbark,HISPANIC,FEMALE,Moving Violation - Other,Failure to yield to emergency vehicle,,Verbal Warning,No,6/15/2017,1:35 PM
5040 Blackstone,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Illegal turn in front of CTA bus,,Verbal Warning,No,6/15/2017,4:25 PM
5500 S. Maryland,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper lane usage,,Verbal Warning,No,6/16/2017,16:58
1135 E. 47th Street,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,6/16/2017,20:26
1300 E. MIDWAY PLAISANCE,BLACK / AFRICAN AMERICAN,FEMALE,Speed,Speeding,,Verbal Warning,No,6/17/2017,10:04 AM
1300 E. MIDWAY PLAISANCE,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,,Verbal Warning,No,6/17/2017,10:35 AM
6000 S. Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,Two citations issued,Citation Issued,No,6/17/2017,10:55 AM
1200 E. MIDWAY PLAISANCE,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,,Verbal Warning,No,6/17/2017,10:57 AM
5300 S. KIMBARK,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Disobeyed Stop Sign,Two citations issued,Citation Issued,No,6/18/2017,1:24 AM
5800 S. Maryland,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Disobeyed traffic control device,Two citations issued,Citations Issued,No,6/18/2017,3:11 PM
5900 S. Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,6/18/2017,4:31 PM
5400 S. LAKE PARK,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper lane usage,Two citations issued,Arrest,Yes,6/18/2017,11:46 PM
5316 Woodlawn,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,6/19/2017,12:20 PM
1050 E 59th,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on a one way street,Two citations issued,Citation issued,No,6/19/2017,1:26 PM
5800 Dorchester,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on a one way street,,Verbal Warning,No,6/19/2017,4:48 PM
5500 S. KENWOOD,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,6/20/2017,10:24 AM
6100 S. UNIVERSITY,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,One citation issued,Citation Issued,No,6/20/2017,10:40AM
5300 S. BLACKSTONE,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No,6/20/2017,12:35 PM
5500 S. UNIVERSITY,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No,6/20/2017,3:22 PM
5530 S Cornell,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,6/21/2017,11:35 AM
5683 S Blackstone,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Improper lane usage,,Verbal Warning,No,6/21/2017,4:35 PM
1126 E 47th,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/21/2017,9:52 PM
5500 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,6/23/2017,5:35 PM
5500 S Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Driving in wrong lane,,Verbal Warning,No,6/23/2017,11:50 PM
Midway Plaisance and Harper,ASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/24/2017,1:35 PM
5500 Blackstone,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,6/24/2017,2:24 PM
5500 S Blackstone,ASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/24/2017,5:48 PM
5225 S Blackstone,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,6/24/2017,9:00 PM
5500 University,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/25/2017,8:38 AM
5300 Harper,HISPANIC,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,6/25/2017,12:54 PM
5000 Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,One citation issued,Citation issued,No,6/25/2017,1:15 PM
5300 S Lake Park,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/27/2017,11:57 PM
5400 S Shore Drive,ASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/28/2017,3:31 PM
5700 S Drexel,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/28/2017,11:04 PM
5300 S Shore,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/29/2017,8:15 AM
5800 S Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Failure to yield right of way,,Verbal Warning,No,6/29/2017,10:20 AM
5500 S Woodlawn,ASIAN,FEMALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,6/29/2017,9:46 PM
4900 S Greenwood,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/29/2017,10:37 PM
5300 S Harper,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,7/1/2017,1:50 PM
5320 S University,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,7/1/2017,9:38 PM
5100 S Blackstone,ASIAN,FEMALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,7/2/2017,2:21 PM
5312 S Hyde Park,ASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/3/2017,8:36 AM
5500 S Blackstone,ASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/3/2017,9:21 AM
5900 S Blackstone,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,7/4/2017,11:25 PM
1420 E 53rd,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/4/2017,3:45 PM
5100 S Greenwood,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on a one way street,,Verbal Warning,No,7/6/2017,6:36 PM
6100 S Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Failure to signal,,Verbal Warning,No,7/6/2017,10:58 PM
5300 Dorchester,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on a one way street,,Verbal Warning,No,7/7/2017,4:20 PM
5300 S Lake Park,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/7/2017,6:02 PM
Midway Plaisance and Stony Island,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/8/2017,7:58 AM
6000 Ingleside,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on a one way street,,Verbal Warning,No,7/8/2017,2:40 PM
5300 S Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/8/2017,5:41 PM
6018 S Stony Island,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Disobeyed traffic control device,One citation issued,Citation Issued,No,7/8/2017,10:02 PM
6400 S Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,7/10/2017,4:11 PM
5100 S Lake Park,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper turn,"Three citations issued for improper turn, suspended DL, and no insurance",Citation Issued,No,7/10/2017,4:53 PM
6200 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/11/2017,9:03 AM
5500 S Kimbark,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,7/11/2017,3:18 PM
Midway Plaisance and Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,Two citations issued,Citation issued,No,7/11/2017,6:30 PM
5300 Shore Dr,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/12/2017,9:35 AM
5300 Shore Dr,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/12/2017,11:56 AM
5900 Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/12/2017,4:33 PM
5322 S. SHORE DR.,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No,7/13/2017,11:40 AM
6003 S Ellis,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,7/14/2017,10:54 AM
5900 S Woodlawn,WHITE AMERICAN / CAUCASIAN,MALE,Speed,Speeding,,Verbal Warning,No,7/14/2017,4:03 PM
5900 S Woodlawn,ASIAN,MALE,Lane Violation,Improper lane usage,,Verbal Warning,No,7/14/2017,5:34 PM
5500 S Kimbark,ASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/15/2017,9:45 AM
5800 S Stony Island,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,"Two citations issued for speeding and suspended DL, arrested on warrant",Citation issued,Yes,7/15/2017,3:08 PM
5500 S Kimbark,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/16/2017,2:41 PM
1400 E 53rd,HISPANIC,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,7/17/2017,10:35 AM
Midway and Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/17/2017,10:58 AM
6100 Woodlawn,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/17/2017,2:43 PM
6300 S Ingleside,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,7/18/2017,2:07 AM
5500 Blackstone,WHITE AMERICAN / CAUCASIAN,MALE,Moving Violation - Other,Using cell phone while driving,,Verbal Warning,No,7/18/2017,10:27 AM
6000 Drexel,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,7/18/2017,12:30 PM
6100 Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/18/2017,2:07 PM
6100 Drexel,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/18/2017,3:22 PM
5500 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,7/19/2017,8:53 PM
5500 S Ingleside,HISPANIC,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,Two citations issued for failure to yield at crosswalk and no valid DL,Citation issued,No,7/19/2017,9:20 PM
6200 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/20/2017,9:36 AM
6209 S Dorchester,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper U-Turn,,Verbal Warning,No,7/20/2017,9:26 PM
6000 Ellis,HISPANIC,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/21/2017,7:39 AM
6000 Ingleside,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/21/2017,8:09 PM
6100 Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,Citation issued for no insurance,Citations Issued,No,6/21/2017,10:36 AM
5100 Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/21/2017,1:29 PM
5323 S Woodlawn,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,7/24/2017,10:56 AM
5500 S Harper,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/24/2017,11:54 AM
5336 S Hyde Park,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/24/2017,3:06 PM
5300 S Harper,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/24/2017,3:12 PM
5647 S Lake Park,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Disobeyed traffic control device,One citation issued,Citation issued,No,7/24/2017,7:47 PM
5700 S Harper,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,One citation issued,Citation issued,No,7/24/2017,8:34 PM
5600 S University,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,7/25/2017,2:56 PM
5400 S Shore,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/26/2017,10:04 AM
5500 Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,7/26/2017,5:07 PM
5300 S Hyde Park,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/27/2017,6:00 PM
5600 Stony Island,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper overtaking,,Verbal Warning,No,7/27/2017,7:09 PM
5900 Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/27/2017,7:54 PM
5300 S Harper,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/28/2017,7:27 AM
920 E Midway,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,7/28/2017,12:18 PM
5300 S Blackstone,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/28/2017,2:44 PM
1400 E Midway Plaisance,WHITE AMERICAN / CAUCASIAN,FEMALE,Speed,Speeding,,Verbal Warning,No,7/28/2017,3:00 PM
1400 E Midway Plaisance,BLACK / AFRICAN AMERICAN,FEMALE,Speed,Speeding,,Verbal Warning,No,7/28/2017,3:25 PM
1455 E 55th,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,7/28/2017,9:23 PM
6300 S Greenwood,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,7/29/2017,9:25 AM
6300 S University,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,7/29/2017,12:02 PM
1380 E 53rd,HISPANIC,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,7/29/2017,2:59 PM
5800 S Dorchester,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper lane usage,,Verbal Warning,No,7/29/2017,5:11 PM
5500 S Drexel,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,7/29/2017,9:48 PM
5407 S Greenwood,ASIAN,MALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,7/30/2017,9:22 AM
1315 E 53rd,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,7/30/2017,4:53 PM
5500 S Woodlawn,ASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/30/2017,11:22 PM
6100 S Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/31/2017,9:47 PM
1155 E. 60TH STREET,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,Three citations issued,Citation issued,No,8/1/2017,5:14 PM
5500 S Blackstone,HISPANIC,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/2/2017,3:55 PM
6141 S Ingleside,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/2/2017,3:55 PM
5500 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,8/2/2017,4:01 PM
4924 S Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/2/2017,7:22 PM
4700 S Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/3/2017,8:24 AM
4700 S Drexel,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,8/3/2017,9:28 PM
6100 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,8/5/2017,7:48 PM
6200 S Greenwood,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/5/2017,5:08 PM
5300 Kimbark,BLACK / AFRICAN AMERICAN,FEMALE,Equipment,No brake lights,,Verbal Warning,No,8/9/2017,9:27 AM
5400 Berkeley,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/9/2017,2:53 PM
5300 Kimbark,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/9/2017,3:09 PM
6300 S Ellis,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,8/9/2017,6:05 PM
5200 Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/10/2017,11:23 AM
5500 Dorchester,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on a one way street,,Verbal Warning,No,8/10/2017,12:11 PM
5339 Kimbark,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/10/2017,2:43 PM
5400 S Cornell,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/11/2017,8:59 AM
6100 S Dorchester,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,8/11/2017,9:20 AM
1155 E 57th,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/11/2017,10:11 AM
5100 S Harper,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/12/2017,8:46 AM
6100 S Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,8/12/2017,12:23 PM
5100 S Drexel,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/12/2017,3:31 PM
5000 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,8/12/2017,4:44 PM
